,Suburb,Latitude,Longitude
0,ABBOTSBURY,-33.8692846,150.8667029
1,ABBOTSFORD,-33.8505529,151.129759
2,ACACIA GARDENS,-33.7324595,150.9125321
3,AGNES BANKS,-33.6145082,150.7114482
4,AIRDS,-34.09,150.8261111
5,ALEXANDRIA,-33.9091568,151.1921281
6,ALFORDS POINT,-33.9839091,151.0241615
7,ALLAMBIE HEIGHTS,-33.7705067,151.249675
8,ALLAWAH,-33.9727133,151.1145545
9,AMBARVALE,-34.0844252,150.8017477
10,ANNANDALE,-33.881224,151.1709976
11,ANNANGROVE,-33.6574838,150.9460077
12,ARCADIA,-33.6227289,151.0605602
13,ARNCLIFFE,-33.938236,151.145508
14,ARNDELL PARK,-33.79,150.8761111
15,ARTARMON,-33.8094124,151.1857609
16,ASHBURY,-33.9001107,151.1180724
17,ASHCROFT,-33.915,150.9011111
18,ASHFIELD,53.9341213,-1.3816328
19,ASQUITH,-33.6871935,151.1110257
20,AUBURN,-33.8545702,151.0255673
21,AUSTINMER,-34.3062151,150.9342132
22,AUSTRAL,-33.9282672,150.8082824
23,AVALON BEACH,-33.6365039,151.3290299
24,BADGERYS CREEK,-33.9147851,150.7059611
25,BALGOWLAH,-33.7944424,151.2608261
26,BALGOWLAH HEIGHTS,-33.807495,151.2649923
27,BALMAIN,-33.8583992,151.1807353
28,BALMAIN EAST,-33.8571789,151.192354
29,BANGOR,44.8011821,-68.7778138
30,BANKSIA,-33.9448646,151.1402066
31,BANKSMEADOW,-33.9542459,151.2157073
32,BANKSTOWN,-33.9171897,151.0335881
33,BANKSTOWN AERODROME,-33.9235,150.9901
34,BARANGAROO,-33.8614084,151.2016877
35,BARDEN RIDGE,-34.0311727,151.0105268
36,BARDIA,-33.9763948,150.8604327
37,BARDWELL PARK,-33.9355556,151.1238889
38,BARDWELL VALLEY,-33.937452,151.1304335
39,BASS HILL,-33.8986251,150.9974484
40,BAULKHAM HILLS,-33.7611198,150.9914041
41,BAYVIEW,39.2894325,-76.5416232
42,BEACON HILL,-33.751787,151.2600828
43,BEACONSFIELD,51.6082881,-0.6571233
44,BEAUMONT HILLS,-33.6997222,150.9405556
45,BEECROFT,-33.7497631,151.0657475
46,BELFIELD,46.8852906,-103.1996219
47,BELLA VISTA,-34.5972423,-58.4633387
48,BELLEVUE HILL,-33.8797123,151.2561988
49,BELMORE,-33.9173234,151.0879325
50,BELROSE,-33.730009,151.2191438
51,BERALA,-33.8753943,151.0343253
52,BERKSHIRE PARK,-33.6816667,150.7844444
53,BEROWRA,-33.6264261,151.1473881
54,BEROWRA CREEK,-33.6314855,151.1083649
55,BEROWRA HEIGHTS,-33.6095775,151.1373221
56,BEROWRA WATERS,-33.5994177,151.1229517
57,BEVERLEY PARK,-33.9787995,151.1316285
58,BEVERLY HILLS,-33.9497444,151.0817342
59,BEXLEY,39.9692378,-82.936864
60,BEXLEY NORTH,-33.9375479,151.1134896
61,BIDWILL,-33.7319476,150.823408
62,BILGOLA BEACH,-33.6443165,151.324484
63,BILGOLA PLATEAU,-33.6438092,151.315858
64,BIRCHGROVE,51.5143033,-3.2032534
65,BIRRONG,-33.8918622,151.0201957
66,BLACKETT,-33.7372232,150.815
67,BLACKTOWN,-33.7739882,150.9036186
68,BLAIR ATHOL,-34.8592373,138.5965433
69,BLAIRMOUNT,-34.0483333,150.7927778
70,BLAKEHURST,-33.9898519,151.1085596
71,BLIGH PARK,-32.5525858,151.16110499144042
72,BONDI,-33.8930556,151.2633333
73,BONDI BEACH,-33.8906977,151.2724119
74,BONDI JUNCTION,-33.8912551,151.2486535
75,BONNET BAY,-34.0101087,151.053572
76,BONNYRIGG,-33.8936698,150.888281
77,BONNYRIGG HEIGHTS,-33.8912101,150.8695795
78,BOSSLEY PARK,-33.8622222,150.8844444
79,BOTANY,48.4446516,22.0877219
80,BOW BOWING,-34.0161463,150.8405606
81,BOX HILL,-33.6425,150.8988889
82,BRADBURY,34.1469511,-117.9708982
83,BREAKFAST POINT,-33.8422769,151.1111054
84,BRIGHTON-LE-SANDS,-33.9580947,151.1526052
85,BRINGELLY,-33.9393505,150.7309705
86,BRONTE,-33.9042128,151.2637774
87,BROOKLYN,-33.54862095,151.20941060797185
88,BROOKVALE,-33.7628854,151.2707024
89,BUNDEENA,-34.0845443,151.1512348
90,BUNGARRIBEE,-33.7822832,150.86499
91,BURRANEER,-34.0644603,151.1377905
92,BURWOOD,-33.8784753,151.104049
93,BURWOOD HEIGHTS,-33.8894444,151.1038889
94,BUSBY,-33.915,150.8844444
95,CABARITA,-33.8475029,151.1158878
96,CABRAMATTA,-33.8983188,150.9344502
97,CABRAMATTA WEST,-33.8916949,150.914639
98,CADDENS,-33.773603,150.7288643
99,CAMBRIDGE GARDENS,-33.7377967,150.7205556
100,CAMBRIDGE PARK,-33.7501365,150.7269025
101,CAMELLIA,-33.8197799,151.0346488
102,CAMMERAY,-33.8222738,151.2139868
